date	Chicago	LA	NYC	
2010-02-25	3	2	9
2010-02-26	93	119	362
2010-02-27	124	167	300
2010-02-28	87	166	341
2010-03-01	76	150	256
2010-03-02	83	157	298
2010-03-03	100	159	318
2010-03-04	102	198	373
2010-03-05	112	206	429
2010-03-06	150	188	605
2010-03-07	117	197	568
2010-03-08	105	148	314
2010-03-09	92	166	337
2010-03-10	141	186	396
2010-03-11	96	198	435
2010-03-12	162	200	477
2010-03-13	271	266	610
2010-03-14	195	271	594
2010-03-15	147	203	501
2010-03-16	172	229	570
2010-03-17	199	264	744
2010-03-18	214	313	726
2010-03-19	263	309	811
2010-03-20	276	385	1177
2010-03-21	293	355	991
2010-03-22	157	271	668
2010-03-23	209	279	689
2010-03-24	190	265	780
2010-03-25	228	329	840
2010-03-26	218	397	903
2010-03-27	272	408	1000
2010-03-28	276	400	965
2010-03-29	214	242	629
2010-03-30	231	271	642
2010-03-31	249	299	752
2010-04-01	266	291	915
2010-04-02	160	167	533
2010-04-03	360	410	1223
2010-04-04	219	430	910
2010-04-05	181	231	703
2010-04-06	198	308	809
2010-04-07	203	359	1024
2010-04-08	184	282	817
2010-04-09	324	460	986
2010-04-10	397	484	1337
2010-04-11	335	457	1176
2010-04-12	209	331	819
2010-04-13	228	346	984
2010-04-14	224	382	1046
2010-04-15	276	382	1108
2010-04-16	400	443	1296
2010-04-17	455	551	1470
2010-04-18	387	503	1344
2010-04-19	248	353	923
2010-04-20	279	364	1150
2010-04-21	297	358	1176
2010-04-22	317	449	1269
2010-04-23	349	464	1299
2010-04-24	449	622	1602
2010-04-25	386	626	1187
2010-04-26	264	432	886
2010-04-27	276	405	1006
2010-04-28	307	499	1206
2010-04-29	339	463	1247
2010-04-30	354	533	1418
2010-05-01	546	650	1722
2010-05-02	346	529	1313
2010-05-03	250	429	1016
2010-05-04	281	419	964
2010-05-05	255	428	1283
2010-05-06	354	552	1444
2010-05-07	396	547	1542
2010-05-08	438	725	1791
2010-05-09	388	570	1364
2010-05-10	241	422	1196
2010-05-11	321	506	1322
2010-05-12	405	563	1378
2010-05-13	436	526	1411
2010-05-14	400	603	1433
2010-05-15	542	728	1765
2010-05-16	462	620	1684
2010-05-17	276	450	1100
2010-05-18	375	480	1215
2010-05-19	434	613	1388
2010-05-20	443	566	1574
2010-05-21	428	632	1575
2010-05-22	471	781	1894
2010-05-23	502	717	1606
2010-05-24	344	474	1437
2010-05-25	365	515	1334
2010-05-26	444	547	1722
2010-05-27	421	562	1630
2010-05-28	559	727	1773
2010-05-29	638	824	1724
2010-05-30	494	765	1704
2010-05-31	348	643	1434
